season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2021,1,Illinois,Nebraska,30,22,False,Big Ten,Big Ten
2021,1,Fresno State,UConn,45,0,False,Mountain West,FBS Independents
2021,1,Central State (OH),Kentucky State,6,20,True,SIAC,SIAC
2021,1,UCLA,Hawai'i,44,10,False,Pac-12,Mountain West
2021,1,Indiana State,Eastern Illinois,26,21,False,MVFC,OVC
2021,1,North Carolina Central,Alcorn State,23,14,True,MEAC,SWAC
2021,1,New Mexico State,UTEP,3,30,False,FBS Independents,Conference USA
2021,1,San José State,Southern Utah,45,14,False,Mountain West,Big Sky
2021,1,Jacksonville State,UAB,0,31,True,AWC,Conference USA
2021,1,Wayne State (MI),Slippery Rock,21,24,False,GLIAC,Pennsylvania State Athletic
2021,1,Stony Brook,New Hampshire,21,27,False,CAA,CAA
2021,1,Wingate,Shaw,30,7,False,South Atlantic,CIAA
2021,1,Mercer,Point University,69,0,False,Southern,
2021,1,Samford,Tennessee Tech,52,14,False,Southern,OVC
2021,1,Ball State,Western Illinois,31,21,False,Mid-American,MVFC
2021,1,Youngstown State,Incarnate Word,44,41,False,MVFC,Southland
2021,1,Maine,Delaware,24,34,False,CAA,CAA
2021,1,Buffalo,Wagner,69,7,False,Mid-American,NEC
2021,1,Coastal Carolina,The Citadel,52,14,False,Sun Belt,Southern
2021,1,Kentucky Wesleyan,Frostburg State,13,20,False,Great Midwest Athletic,Mountain East
2021,1,Arkansas Tech,Southeastern Oklahoma State,20,38,False,Great American,Great American
2021,1,UCF,Boise State,36,31,False,American Athletic,Mountain West
2021,1,Wayne State (NE),University of Mary,34,27,False,Northern Sun,Northern Sun
2021,1,Fairmont State,PennWest California,14,23,False,Mountain East,Pennsylvania State Athletic
2021,1,West Liberty,Walsh,6,27,False,Mountain East,Great Midwest Athletic
2021,1,Drake,West Virginia Wesleyan,45,3,False,Pioneer,Mountain East
2021,1,Northwestern Oklahoma State,Southern Arkansas,13,32,False,Great American,Great American
2021,1,Arkansas-Monticello,Southern Nazarene,30,23,False,Great American,Great American
2021,1,Delta State,Bethel University Tennessee,48,14,False,Gulf South,
2021,1,Ouachita Baptist,Oklahoma Baptist,38,31,False,Great American,Great American
2021,1,Southwestern Oklahoma State,Henderson State,13,31,False,Great American,Great American
2021,1,Mississippi College,Albany State GA,0,24,False,Gulf South,SIAC
2021,1,Carson-Newman College,West Georgia,7,45,False,South Atlantic,Gulf South
2021,1,Seton Hill,Wheeling,16,14,False,Pennsylvania State Athletic,Mountain East
2021,1,Ohio Dominican,Shepherd,30,35,False,Great Midwest Athletic,Pennsylvania State Athletic
2021,1,Millersville,American International,9,14,False,Pennsylvania State Athletic,Northeast 10
2021,1,Lincoln (MO),Washburn,12,76,False,Mid America,Mid America
2021,1,Minnesota State Mankato,Northern State,40,34,False,Northern Sun,Northern Sun
2021,1,Sioux Falls,Bemidji State,16,24,False,Northern Sun,Northern Sun
2021,1,Mars Hill,Chowan,24,30,False,South Atlantic,CIAA
2021,1,Upper Iowa University,Minnesota Duluth,14,41,False,Northern Sun,Northern Sun
2021,1,Northwood (MI),Gannon,21,28,False,GLIAC,Pennsylvania State Athletic
2021,1,Lindenwood,Angelo State,20,40,False,Great Lakes,Lone Star
2021,1,East Stroudsburg University,Pace,35,14,False,Pennsylvania State Athletic,Northeast 10
2021,1,Utah,Weber State,40,17,False,Pac-12,Big Sky
2021,1,Tulsa,UC Davis,17,19,False,American Athletic,Big Sky
2021,1,Ferris State,Findlay,54,14,False,GLIAC,Great Midwest Athletic
2021,1,Chattanooga,Austin Peay,20,30,False,Southern,OVC
2021,1,Southeast Missouri State,Southern Illinois,21,47,False,OVC,MVFC
2021,1,App State,East Carolina,33,19,False,Sun Belt,American Athletic
2021,1,NC State,South Florida,45,0,False,ACC,American Athletic
2021,1,Tennessee,Bowling Green,38,6,False,SEC,Mid-American
2021,1,Minnesota,Ohio State,31,45,False,Big Ten,Big Ten
2021,1,Winona State,Concordia University St Paul,47,6,False,Northern Sun,Northern Sun
2021,1,Eastern New Mexico,Central Washington,24,66,False,Lone Star,Great Northwest
2021,1,Nebraska-Kearney,Missouri Southern State,38,0,False,Mid America,Mid America
2021,1,Fort Hays State,Northwest Missouri St,7,15,False,Mid America,Mid America
2021,1,Central Oklahoma,Missouri Western,24,20,False,Mid America,Mid America
2021,1,Central Missouri,Pittsburg St,16,35,False,Mid America,Mid America
2021,1,New Mexico,Houston Christian,27,17,False,Mountain West,Southland
2021,1,Colorado Mesa,William Jewell,40,3,False,Rocky Mountain,Great Lakes
2021,1,CSU Pueblo,East Texas A&M,6,12,False,Rocky Mountain,Lone Star
2021,1,Colorado School Of Mines,Western Oregon,42,3,False,Rocky Mountain,Great Northwest
2021,1,Southwest Minnesota State,Minnesota State Moorhead,21,33,False,Northern Sun,Northern Sun
2021,1,South Dakota Mines,Missouri S&T,34,31,False,Rocky Mountain,Great Lakes
2021,1,Western Kentucky,UT Martin,59,21,False,Conference USA,OVC
2021,1,Kennesaw State,Reinhardt University,35,25,False,Big South,
2021,1,Murray State,Mississippi Valley State,35,0,False,OVC,SWAC
2021,1,Florida International,Long Island University,48,10,False,Conference USA,NEC
2021,1,Northern Arizona,Sam Houston,16,42,False,Big Sky,AWC
2021,1,West Texas A&M,Texas College,73,0,False,Lone Star,
2021,1,UNLV,Eastern Washington,33,35,False,Mountain West,Big Sky
2021,1,Arizona State,Southern Utah,41,14,False,Pac-12,Big Sky
2021,1,Bentley,West Chester,41,17,False,Northeast 10,Pennsylvania State Athletic
2021,1,Central Connecticut,Southern Connecticut State,21,28,False,NEC,Northeast 10
2021,1,Virginia Tech,North Carolina,17,10,False,ACC,ACC
2021,1,Charlotte,Duke,31,28,False,Conference USA,ACC
2021,1,Wake Forest,Old Dominion,42,10,False,ACC,Conference USA
2021,1,Eastern Michigan,St. Francis (PA),35,15,False,Mid-American,NEC
2021,1,Kansas,South Dakota,17,14,False,Big 12,MVFC
2021,1,Colorado,Northern Colorado,35,7,False,Pac-12,Big Sky
2021,1,Colorado State,South Dakota State,23,42,False,Mountain West,MVFC
2021,1,Northwestern,Michigan State,21,38,False,Big Ten,Big Ten
2021,1,Lehigh,Villanova,3,47,False,Patriot,CAA
2021,1,Kentucky,UL Monroe,45,10,False,SEC,Sun Belt
2021,1,Kansas State,Stanford,24,7,True,Big 12,Pac-12
2021,1,Rutgers,Temple,61,14,False,Big Ten,American Athletic
2021,1,Wisconsin,Penn State,10,16,False,Big Ten,Big Ten
2021,1,Georgia State,Army,10,43,False,Sun Belt,FBS Independents
2021,1,Southwest Baptist,UT Permian Basin,16,24,False,Great Lakes,Lone Star
2021,1,Boston College,Colgate,51,0,False,ACC,Patriot
2021,1,UConn,Holy Cross,28,38,False,FBS Independents,Patriot
2021,1,Davenport,Truman State,14,31,False,GLIAC,Great Lakes
2021,1,Notre Dame College,Ashland,42,35,False,Mountain East,Great Midwest Athletic
2021,1,Shorter,Brevard College,38,14,False,Gulf South,USA South
2021,1,UVA Wise,Virginia University Of Lynchburg,54,0,False,South Atlantic,
2021,1,Bluefield State,Lawrence Tech,14,21,False,Independent DII,
2021,1,Michigan,Western Michigan,47,14,False,Big Ten,Mid-American
2021,1,Oklahoma,Tulane,40,35,False,Big 12,American Athletic
2021,1,Nebraska,Fordham,52,7,False,Big Ten,Patriot
2021,1,Kutztown University,Assumption,19,0,False,Pennsylvania State Athletic,Northeast 10
2021,1,Shippensburg,West Virginia State,25,17,False,Pennsylvania State Athletic,Mountain East
