season,week,team,rating_linear
2023,1,Abilene Christian,4.982007095793228
2023,1,Adams State,4.482007095793235
2023,1,Adrian,-0.4820070957932516
2023,1,Air Force,12.482007095793232
2023,1,Akron,3.517992904206792
2023,1,Alabama,19.482007095793183
2023,1,Alabama A&M,-25.249999999999883
2023,1,Alabama State,-3.017992904206819
2023,1,Albany State GA,-6.482007095793153
2023,1,Albion,15.517992904206798
2023,1,Albright,-16.9820070957932
2023,1,Alcorn State,-7.982007095793201
2023,1,Alderson-Broaddus,-5.0179929042068165
2023,1,Alfred State,10.017992904206796
2023,1,Alfred University,-16.01799290420678
2023,1,Allegheny,6.51799290420676
2023,1,Allen,-1.517992904206811
2023,1,Alma,17.482007095793215
2023,1,American International,-16.982007095793268
2023,1,Anderson (IN),-35.51799290420674
2023,1,Angelo State,17.017992904206857
2023,1,Anna Maria College,6.982007095793224
2023,1,App State,5.482007095793196
2023,1,Apprentice School,-15.017992904206817
2023,1,Arizona,12.482007095793179
2023,1,Arizona State,-3.5179929042067832
2023,1,Arkansas,21.499999999999964
2023,1,Arkansas State,-31.48200709579321
2023,1,Arkansas Tech,4.0179929042067695
2023,1,Arkansas-Monticello,17.51799290420684
2023,1,Arkansas-Pine Bluff,-12.482007095793215
2023,1,Army,3.017992904206778
2023,1,Ashland,1.5179929042068052
2023,1,Assumption,0.4820070957931428
2023,1,Auburn,43.482007095793236
2023,1,Augsburg,15.982007095793186
2023,1,Augustana (IL),16.017992904206764
2023,1,Augustana University (SD),10.482007095793183
2023,1,Aurora,5.48200709579316
2023,1,Austin,-11.017992904206796
2023,1,Austin Peay,-7.982007095793198
2023,1,Averett,15.017992904206807
2023,1,BYU,1.9820070957932139
2023,1,Baldwin Wallace,-11.51799290420682
2023,1,Ball State,-9.982007095793195
2023,1,Baylor,-10.517992904206771
2023,1,Belhaven,14.982007095793143
2023,1,Beloit,-1.5179929042067861
2023,1,Bemidji State,12.982007095793186
2023,1,Benedict College,20.98200709579316
2023,1,Benedictine University,4.517992904206752
2023,1,Bentley,-5.517992904206793
2023,1,Berry College,11.48200709579319
2023,1,Bethune-Cookman,-15.982007095793186
2023,1,Biddeford,2.9820070957932745
2023,1,Birmingham-Southern,0.4999999999999767
2023,1,Black Hills State,0.017992904206809664
2023,1,Bloomsburg,3.0179929042068028
2023,1,Bluefield State,22.017992904206807
2023,1,Bluffton,2.9820070957932407
2023,1,Boise State,-13.482007095793136
2023,1,Boston College,-6.517992904206751
2023,1,Bowie State,10.517992904206771
2023,1,Bowling Green,0.01799290420680611
2023,1,Brevard College,-8.017992904206821
2023,1,Bridgewater (VA),-21.017992904206793
2023,1,Bridgewater State,-1.9820070957932294
2023,1,Brockport,23.01799290420686
2023,1,Bryant,-9.982007095793215
2023,1,Bucknell,-12.482007095793215
2023,1,Buena Vista,-16.982007095793243
2023,1,Buffalo,-5.482007095793196
2023,1,Buffalo State,-23.01799290420686
2023,1,Butler,-2.4820070957931795
2023,1,CSU Pueblo,9.482007095793236
2023,1,Cal Poly,3.482007095793097
2023,1,California,23.517992904206793
2023,1,California Lutheran University,-2.017992904206754
2023,1,Campbell,-10.017992904206794
2023,1,Capital,-10.01799290420681
2023,1,Carnegie Mellon,20.517992904206768
2023,1,Carson-Newman College,10.982007095793179
2023,1,Carthage,-15.5179929042068
2023,1,Case Western Reserve,12.017992904206807
2023,1,Castleton,-3.0179929042067695
2023,1,Catawba,9.017992904206796
2023,1,Catholic,8.482007095793236
2023,1,Central Arkansas,-1.9820070957932139
2023,1,Central College,10.0179929042068
2023,1,Central Connecticut,16.98200709579326
2023,1,Central Michigan,-6.982007095793198
2023,1,Central Missouri,8.517992904206771
2023,1,Central Oklahoma,-3.5179929042067646
2023,1,Central State (OH),1.500000000000026
2023,1,Central Washington,-7.482007095793213
2023,1,Centre College Kentucky,-6.5179929042067455
2023,1,Chadron St,5.517992904206745
2023,1,Chapman,5.017992904206792
2023,1,Charleston Southern,-3.517992904206832
2023,1,Charlotte,-11.276989356310182
2023,1,Chattanooga,-21.96401419158658
2023,1,Chicago,-9.517992904206807
2023,1,Chowan,-15.482007095793184
2023,1,Christopher Newport,17.48200709579317
2023,1,Cincinnati,21.482007095793332
2023,1,Claremont-Mudd-Scripps College,9.517992904206801
2023,1,Clarion,10.017992904206821
2023,1,Clark Atlanta,-1.9820070957931726
2023,1,Clemson,-5.482007095793215
2023,1,Coast Guard,-2.9820070957932576
2023,1,Coastal Carolina,-1.982007095793208
2023,1,Coe College,30.017992904206807
2023,1,Colgate,-27.48200709579315
2023,1,College Of New Jersey,4.982007095793192
2023,1,Colorado,6.51799290420674
2023,1,Colorado Mesa,-15.017992904206915
2023,1,Colorado School Of Mines,-3.5179929042067823
2023,1,Colorado State,-18.017992904206814
2023,1,Concord University,-28.017992904206764
2023,1,Concordia Moorhead,3.517992904206707
2023,1,Concordia University Chicago,-18.517992904206743
2023,1,Concordia University St Paul,6.482007095793217
2023,1,Concordia-Wisconsin,15.482007095793186
2023,1,Cornell College (IA),-30.017992904206803
2023,1,Cortland,9.48200709579326
2023,1,Crown College,-10.982007095793248
2023,1,Curry College,-29.017992904206764
2023,1,Dakota State University,-12.500000000000025
2023,1,Davenport,1.9820070957932654
2023,1,Davidson,2.5179929042067775
2023,1,Dayton,-15.48200709579321
2023,1,Dean College,2.9820070957932123
2023,1,Defiance College,-24.517992904206785
2023,1,Delaware,17.017992904206764
2023,1,Delaware State,-10.517992904206789
2023,1,Delaware Valley,-9.482007095793236
2023,1,Delta State,19.017992904206842
2023,1,Denison University,10.0179929042068
2023,1,Depauw,11.017992904206807
2023,1,Dickinson (PA),-10.517992904206803
2023,1,Drake,-18.982007095793193
2023,1,Dubuque,-5.517992904206804
2023,1,Duke,5.482007095793205
2023,1,Duquesne,15.982007095793216
2023,1,ERSKINE,1.517992904206806
2023,1,East Carolina,-8.482007095793215
2023,1,East Central (OK),-8.982007095793213
2023,1,East Stroudsburg University,21.482007095793186
2023,1,East Tennessee State,-29.500000000000014
2023,1,East Texas A&M,-24.017992904206732
2023,1,East Texas Baptist University,-9.999999999999998
2023,1,Eastern Illinois,18.517992904206796
2023,1,Eastern Kentucky,-21.48200709579326
2023,1,Eastern Michigan,-0.017992904206762132
2023,1,Eastern New Mexico,-4.017992904206774
2023,1,Eastern University,-4.982007095793187
2023,1,Eastern Washington,-12.499999999999972
2023,1,Edinboro University,-15.98200709579322
2023,1,Edward Waters,-13.517992904206764
2023,1,Elizabeth City State,-9.017992904206768
2023,1,Elmhurst,0.4820070957932743
2023,1,Elon,-4.982007095793221
