season,week,home_team,away_team,home_points,away_points,neutral_site,home_conference,away_conference
2023,1,Notre Dame,Navy,42.0,3.0,True,FBS Independents,American Athletic
2023,1,Mercer,North Alabama,17.0,7.0,True,Southern,UAC
2023,1,Jacksonville State,UTEP,17.0,14.0,False,Conference USA,Conference USA
2023,1,UAlbany,Fordham,34.0,13.0,False,CAA,Patriot
2023,1,New Mexico State,Massachusetts,30.0,41.0,False,Conference USA,FBS Independents
2023,1,San Diego State,Ohio,20.0,13.0,False,Mountain West,Mid-American
2023,1,Jackson State,South Carolina State,37.0,7.0,True,SWAC,MEAC
2023,1,Vanderbilt,Hawai'i,35.0,28.0,False,SEC,Mountain West
2023,1,USC,San José State,56.0,28.0,False,Pac-12,Mountain West
2023,1,Louisiana Tech,Florida International,22.0,17.0,False,Conference USA,Conference USA
2023,1,New Haven,Frostburg State,24.0,27.0,False,Northeast 10,Mountain East
2023,1,Kennesaw State,Greeneville,38.0,7.0,False,FCS Independents,South Atlantic
2023,1,Morehead State,West Virginia State,37.0,35.0,False,Pioneer,Mountain East
2023,1,Lamar,Idaho,17.0,42.0,False,Southland,Big Sky
2023,1,Hiram College,Heidelberg,14.0,68.0,False,North Coast,Ohio
2023,1,East Texas A&M,UC Davis,10.0,48.0,False,Southland,Big Sky
2023,1,Northwood (MI),Glenville State,9.0,44.0,False,Great Midwest Athletic,Mountain East
2023,1,Saginaw Valley State,Winona State,34.0,24.0,False,GLIAC,Northern Sun
2023,1,Keiser University,Mississippi College,14.0,17.0,True,,Gulf South
2023,1,Charleston Southern,North Greenville,13.0,10.0,False,Big South-OVC,Gulf South
2023,1,Rowan,Stevenson,17.0,20.0,False,New Jersey,Mid Atlantic
2023,1,Wingate,Albany State GA,30.0,7.0,False,South Atlantic,SIAC
2023,1,UNC Pembroke,Fayetteville State,19.0,17.0,False,Mountain East,CIAA
2023,1,Alderson-Broaddus,PennWest California,0.0,0.0,False,Mountain East,Pennsylvania State Athletic
2023,1,Wilson,Chowan,41.0,0.0,False,South Atlantic,Gulf South
2023,1,Wayne State (NE),Minnesota State Moorhead,31.0,23.0,False,Northern Sun,Northern Sun
2023,1,Wheeling,Seton Hill,35.0,24.0,False,Mountain East,Pennsylvania State Athletic
2023,1,Walsh,West Liberty,24.0,21.0,False,Great Midwest Athletic,Mountain East
2023,1,McMurry,Birmingham-Southern,19.0,20.0,True,American Southwest,Southern Athletic
2023,1,Southern Arkansas,Southeastern Oklahoma State,34.0,19.0,False,Great American,Great American
2023,1,Carson-Newman College,Virginia University Of Lynchburg,35.0,3.0,False,South Atlantic,
2023,1,Bemidji State,Northern State,49.0,13.0,False,Northern Sun,Northern Sun
2023,1,Quincy,Chadron St,34.0,35.0,False,Great Lakes,Rocky Mountain
2023,1,Northeastern State,Fort Hays State,0.0,56.0,False,Mid America,Mid America
2023,1,Fairmont State,Bloomsburg,34.0,30.0,False,Mountain East,Pennsylvania State Athletic
2023,1,UCF,Kent State,56.0,6.0,False,Big 12,Mid-American
2023,1,West Alabama,Angelo State,14.0,38.0,False,Gulf South,Lone Star
2023,1,Minnesota Duluth,Northern Michigan,47.0,10.0,False,Northern Sun,GLIAC
2023,1,Southern Nazarene,Harding University,20.0,53.0,False,Great American,Great American
2023,1,Lincoln (PA),Clarion,20.0,30.0,False,CIAA,Pennsylvania State Athletic
2023,1,Sioux Falls,Minnesota State Mankato,26.0,54.0,False,Northern Sun,Northern Sun
2023,1,Kentucky State,Clark Atlanta,34.0,20.0,False,SIAC,SIAC
2023,1,Buffalo State,Brockport,6.0,42.0,False,Liberty League,Empire 8
2023,1,Indiana-Pennsylvania,Ashland,24.0,17.0,False,Pennsylvania State Athletic,Great Midwest Athletic
2023,1,Western Michigan,St. Francis (PA),35.0,17.0,False,Mid-American,NEC
2023,1,Lakeland,Wisconsin-Platteville,13.0,80.0,False,NACC,Wisconsin
2023,1,Georgia State,Rhode Island,42.0,35.0,False,Sun Belt,CAA
2023,1,Southwestern Oklahoma State,Ouachita Baptist,14.0,38.0,False,Great American,Great American
2023,1,Louisiana College,East Texas Baptist University,34.0,14.0,True,,American Southwest
2023,1,Belhaven,Millsaps,47.0,7.0,False,USA South,Southern Athletic
2023,1,University Of Charleston (WV),Gannon,22.0,13.0,False,Mountain East,Pennsylvania State Athletic
2023,1,West Georgia,Limestone,21.0,19.0,False,Gulf South,South Atlantic
2023,1,Furman,Tennessee Tech,45.0,10.0,False,Southern,Big South-OVC
2023,1,Wake Forest,Elon,37.0,17.0,False,ACC,CAA
2023,1,Indiana State,Eastern Illinois,0.0,27.0,False,MVFC,Big South-OVC
2023,1,Campbell,William & Mary,24.0,34.0,False,CAA,CAA
2023,1,Stony Brook,Delaware,13.0,37.0,False,CAA,CAA
